year,sex,means_of_travel,towns_by_size,age_range,edu_status,value
2016,Male,walking,Trim,5-12,at primary school,136
2016,Male,walking,Trim,13-18,at secondary school,182
2016,Male,walking,Trim,19-66,at university,13
2016,Male,walking,Tuam,15-66,working,204
2016,Male,walking,Tuam,5-12,at primary school,116
2016,Male,walking,Tuam,13-18,at secondary school,81
2016,Male,walking,Tuam,19-66,at university,19
2016,Male,walking,New Ross,15-66,working,170
2016,Male,walking,New Ross,5-12,at primary school,153
2016,Male,walking,New Ross,13-18,at secondary school,132
2016,Male,walking,New Ross,19-66,at university,21
2016,Male,walking,Kildare,15-66,working,190
2016,Male,walking,Kildare,5-12,at primary school,95
2016,Male,walking,Kildare,13-18,at secondary school,107
2016,Male,walking,Kildare,19-66,at university,19
2016,Male,walking,Thurles,15-66,working,206
2016,Male,walking,Thurles,5-12,at primary school,78
2016,Male,walking,Thurles,13-18,at secondary school,124
2016,Male,walking,Thurles,19-66,at university,90
2016,Male,walking,Youghal,15-66,working,127
2016,Male,walking,Youghal,5-12,at primary school,41
2016,Male,walking,Youghal,13-18,at secondary school,81
2016,Male,walking,Youghal,19-66,at university,31
2016,Male,walking,Portarlington,15-66,working,50
2016,Male,walking,Portarlington,5-12,at primary school,96
2016,Male,walking,Portarlington,13-18,at secondary school,90
2016,Male,walking,Portarlington,19-66,at university,17
2016,Male,walking,Monaghan,15-66,working,200
2016,Male,walking,Monaghan,5-12,at primary school,130
2016,Male,walking,Monaghan,13-18,at secondary school,93
2016,Male,walking,Monaghan,19-66,at university,30
2016,Male,walking,Lusk,15-66,working,54
2016,Male,walking,Lusk,5-12,at primary school,312
2016,Male,walking,Lusk,13-18,at secondary school,89
2016,Male,walking,Lusk,19-66,at university,1
2016,Male,walking,Edenderry,15-66,working,169
2016,Male,walking,Edenderry,5-12,at primary school,182
2016,Male,walking,Edenderry,13-18,at secondary school,131
2016,Male,walking,Edenderry,19-66,at university,10
2016,Male,walking,Dunboyne,15-66,working,38
2016,Male,walking,Dunboyne,5-12,at primary school,248
2016,Male,walking,Dunboyne,13-18,at secondary school,289
2016,Male,walking,Dunboyne,19-66,at university,13
2016,Male,walking,Buncrana,15-66,working,107
2016,Male,walking,Buncrana,5-12,at primary school,62
2016,Male,walking,Buncrana,13-18,at secondary school,82
2016,Male,walking,Buncrana,19-66,at university,25
2016,Male,walking,Donabate,15-66,working,42
2016,Male,walking,Donabate,5-12,at primary school,390
2016,Male,walking,Donabate,13-18,at secondary school,265
2016,Male,walking,Donabate,19-66,at university,8
2016,Male,walking,Clane,15-66,working,49
2016,Male,walking,Clane,5-12,at primary school,190
2016,Male,walking,Clane,13-18,at secondary school,139
2016,Male,walking,Clane,19-66,at university,6
2016,Male,walking,Ballinasloe,15-66,working,116
2016,Male,walking,Ballinasloe,5-12,at primary school,81
2016,Male,walking,Ballinasloe,13-18,at secondary school,40
2016,Male,walking,Ballinasloe,19-66,at university,26
2016,Male,walking,Bandon,15-66,working,207
2016,Male,walking,Bandon,5-12,at primary school,48
2016,Male,walking,Bandon,13-18,at secondary school,85
2016,Male,walking,Bandon,19-66,at university,6
2016,Male,walking,Fermoy,15-66,working,148
2016,Male,walking,Fermoy,5-12,at primary school,107
2016,Male,walking,Fermoy,13-18,at secondary school,92
2016,Male,walking,Fermoy,19-66,at university,17
2016,Male,walking,Newcastle West,15-66,working,84
2016,Male,walking,Newcastle West,5-12,at primary school,72
2016,Male,walking,Newcastle West,13-18,at secondary school,80
2016,Male,walking,Newcastle West,19-66,at university,19
2016,Male,walking,Westport,15-66,working,290
2016,Male,walking,Westport,5-12,at primary school,74
2016,Male,walking,Westport,13-18,at secondary school,56
2016,Male,walking,Westport,19-66,at university,26
2016,Male,walking,Carrick-on-Suir,15-66,working,90
2016,Male,walking,Carrick-on-Suir,5-12,at primary school,63
2016,Male,walking,Carrick-on-Suir,13-18,at secondary school,73
2016,Male,walking,Carrick-on-Suir,19-66,at university,12
2016,Male,walking,Kells (Ceanannas),15-66,working,84
2016,Male,walking,Kells (Ceanannas),5-12,at primary school,150
2016,Male,walking,Kells (Ceanannas),13-18,at secondary school,141
2016,Male,walking,Kells (Ceanannas),19-66,at university,11
2016,Male,walking,Birr,15-66,working,89
2016,Male,walking,Birr,5-12,at primary school,66
2016,Male,walking,Birr,13-18,at secondary school,76
2016,Male,walking,Birr,19-66,at university,11
2016,Male,walking,Kinsealy-Drinan,15-66,working,78
2016,Male,walking,Kinsealy-Drinan,5-12,at primary school,147
2016,Male,walking,Kinsealy-Drinan,13-18,at secondary school,11
2016,Male,walking,Kinsealy-Drinan,19-66,at university,1
2016,Male,walking,Passage West,15-66,working,24
2016,Male,walking,Passage West,5-12,at primary school,54
2016,Male,walking,Passage West,13-18,at secondary school,46
2016,Male,walking,Passage West,19-66,at university,3
2016,Male,walking,Roscommon,15-66,working,112
2016,Male,walking,Roscommon,5-12,at primary school,53
2016,Male,walking,Roscommon,13-18,at secondary school,75
2016,Male,walking,Roscommon,19-66,at university,28
2016,Male,walking,Kilcock,15-66,working,67
2016,Male,walking,Kilcock,5-12,at primary school,179
2016,Male,walking,Kilcock,13-18,at secondary school,99
2016,Male,walking,Kilcock,19-66,at university,8
2016,Male,walking,Roscrea,15-66,working,169
2016,Male,walking,Roscrea,5-12,at primary school,70
2016,Male,walking,Roscrea,13-18,at secondary school,66
2016,Male,walking,Roscrea,19-66,at university,13
2016,Male,walking,Tipperary,15-66,working,148
2016,Male,walking,Tipperary,5-12,at primary school,76
2016,Male,walking,Tipperary,13-18,at secondary school,95
2016,Male,walking,Tipperary,19-66,at university,23
2016,Male,walking,Sallins,15-66,working,49
2016,Male,walking,Sallins,5-12,at primary school,205
2016,Male,walking,Sallins,13-18,at secondary school,6
2016,Male,walking,Sallins,19-66,at university,3
2016,Male,walking,Loughrea,15-66,working,83
2016,Male,walking,Loughrea,5-12,at primary school,76
2016,Male,walking,Loughrea,13-18,at secondary school,56
2016,Male,walking,Loughrea,19-66,at university,11
2016,Male,walking,Blessington,15-66,working,68
2016,Male,walking,Blessington,5-12,at primary school,131
2016,Male,walking,Blessington,13-18,at secondary school,107
2016,Male,walking,Blessington,19-66,at university,7
2016,Male,walking,Ardee,15-66,working,75
2016,Male,walking,Ardee,5-12,at primary school,121
2016,Male,walking,Ardee,13-18,at secondary school,86
2016,Male,walking,Ardee,19-66,at university,6
2016,Male,walking,Carrickmacross,15-66,working,134
2016,Male,walking,Carrickmacross,5-12,at primary school,126
2016,Male,walking,Carrickmacross,13-18,at secondary school,98
2016,Male,walking,Carrickmacross,19-66,at university,18
2016,Male,walking,Kinsale,15-66,working,144
2016,Male,walking,Kinsale,5-12,at primary school,90
2016,Male,walking,Kinsale,13-18,at secondary school,52
2016,Male,walking,Kinsale,19-66,at university,26
2016,Male,walking,Ballybofey-Stranorlar,15-66,working,78
2016,Male,walking,Ballybofey-Stranorlar,5-12,at primary school,40
2016,Male,walking,Ballybofey-Stranorlar,13-18,at secondary school,60
2016,Male,walking,Ballybofey-Stranorlar,19-66,at university,9
2016,Male,walking,Listowel,15-66,working,93
2016,Male,walking,Listowel,5-12,at primary school,32
2016,Male,walking,Listowel,13-18,at secondary school,61
2016,Male,walking,Listowel,19-66,at university,23
2016,Male,walking,Oranmore,15-66,working,71
2016,Male,walking,Oranmore,5-12,at primary school,107
2016,Male,walking,Oranmore,13-18,at secondary school,48
2016,Male,walking,Oranmore,19-66,at university,9
2016,Male,walking,Mountmellick,15-66,working,60
2016,Male,walking,Mountmellick,5-12,at primary school,91
2016,Male,walking,Mountmellick,13-18,at secondary school,103
2016,Male,walking,Mountmellick,19-66,at university,12
2016,Male,walking,Clonakilty,15-66,working,174
2016,Male,walking,Clonakilty,5-12,at primary school,70
2016,Male,walking,Clonakilty,13-18,at secondary school,59
2016,Male,walking,Clonakilty,19-66,at university,17
2016,Male,walking,Carrigtwohill,15-66,working,37
2016,Male,walking,Carrigtwohill,5-12,at primary school,113
2016,Male,walking,Carrigtwohill,13-18,at secondary school,4
2016,Male,walking,Carrigtwohill,19-66,at university,2
2016,Male,walking,Cashel,15-66,working,115
2016,Male,walking,Cashel,5-12,at primary school,118
