year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,bike,Aggregate Rural Area,After 09:30,>=15,junior-cert,183
2011,Male,bike,Aggregate Rural Area,After 09:30,5 to 12,primary-school,1
2011,Male,bike,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,22
2011,Male,bike,Aggregate Rural Area,After 09:30,>=19,university,147
2011,Male,bike,Aggregate Rural Area,na,>=15,junior-cert,71
2011,Male,bike,Aggregate Rural Area,na,5 to 12,primary-school,6
2011,Male,bike,Aggregate Rural Area,na,13 to 18,leaving-cert,2
2011,Male,bike,Aggregate Rural Area,na,>=19,university,8
2011,Male,bus,Aggregate Town Area,Before 06:30,>=15,junior-cert,3162
2011,Male,bus,Aggregate Town Area,Before 06:30,5 to 12,primary-school,6
2011,Male,bus,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,53
2011,Male,bus,Aggregate Town Area,Before 06:30,>=19,university,208
2011,Male,bus,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,5046
2011,Male,bus,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,45
2011,Male,bus,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,330
2011,Male,bus,Aggregate Town Area,06:30 - 07:00,>=19,university,738
2011,Male,bus,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,5920
2011,Male,bus,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,326
2011,Male,bus,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,1900
2011,Male,bus,Aggregate Town Area,07:01 - 07:30,>=19,university,1644
2011,Male,bus,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,6512
2011,Male,bus,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,1548
2011,Male,bus,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,6359
2011,Male,bus,Aggregate Town Area,07:31 - 08:00,>=19,university,3070
2011,Male,bus,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,5100
2011,Male,bus,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,4103
2011,Male,bus,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,5991
2011,Male,bus,Aggregate Town Area,08:01 - 08:30,>=19,university,3552
2011,Male,bus,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,2790
2011,Male,bus,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,3341
2011,Male,bus,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,1339
2011,Male,bus,Aggregate Town Area,08:31 - 09:00,>=19,university,2286
2011,Male,bus,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,1649
2011,Male,bus,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,776
2011,Male,bus,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,316
2011,Male,bus,Aggregate Town Area,09:01 - 09:30,>=19,university,1438
2011,Male,bus,Aggregate Town Area,After 09:30,>=15,junior-cert,4837
2011,Male,bus,Aggregate Town Area,After 09:30,5 to 12,primary-school,29
2011,Male,bus,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,193
2011,Male,bus,Aggregate Town Area,After 09:30,>=19,university,2512
2011,Male,bus,Aggregate Town Area,na,>=15,junior-cert,484
2011,Male,bus,Aggregate Town Area,na,5 to 12,primary-school,71
2011,Male,bus,Aggregate Town Area,na,13 to 18,leaving-cert,72
2011,Male,bus,Aggregate Town Area,na,>=19,university,168
2011,Male,bus,Aggregate Rural Area,Before 06:30,>=15,junior-cert,260
2011,Male,bus,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,3
2011,Male,bus,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,18
2011,Male,bus,Aggregate Rural Area,Before 06:30,>=19,university,56
2011,Male,bus,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,451
2011,Male,bus,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,22
2011,Male,bus,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,181
2011,Male,bus,Aggregate Rural Area,06:30 - 07:00,>=19,university,245
2011,Male,bus,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,642
2011,Male,bus,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,150
2011,Male,bus,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,1966
2011,Male,bus,Aggregate Rural Area,07:01 - 07:30,>=19,university,540
2011,Male,bus,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,677
2011,Male,bus,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,837
