year,sex,travelling_time,time_leaving_home,age,edu_level,value
2011,Male,¾ hour - < 1 hour,08:31 - 09:00,5 to 12,primary-school,266
2011,Male,¾ hour - < 1 hour,08:31 - 09:00,13 to 18,leaving-cert,158
2011,Male,¾ hour - < 1 hour,08:31 - 09:00,>=19,university,833
2011,Male,¾ hour - < 1 hour,09:01 - 09:30,>=15,junior-cert,1763
2011,Male,¾ hour - < 1 hour,09:01 - 09:30,5 to 12,primary-school,67
2011,Male,¾ hour - < 1 hour,09:01 - 09:30,13 to 18,leaving-cert,45
2011,Male,¾ hour - < 1 hour,09:01 - 09:30,>=19,university,541
2011,Male,¾ hour - < 1 hour,After 09:30,>=15,junior-cert,4248
2011,Male,¾ hour - < 1 hour,After 09:30,5 to 12,primary-school,3
2011,Male,¾ hour - < 1 hour,After 09:30,13 to 18,leaving-cert,67
2011,Male,¾ hour - < 1 hour,After 09:30,>=19,university,836
2011,Male,1 hour - < 1½ hours,Before 06:30,>=15,junior-cert,9601
2011,Male,1 hour - < 1½ hours,Before 06:30,5 to 12,primary-school,10
2011,Male,1 hour - < 1½ hours,Before 06:30,13 to 18,leaving-cert,28
2011,Male,1 hour - < 1½ hours,Before 06:30,>=19,university,131
2011,Male,1 hour - < 1½ hours,06:30 - 07:00,>=15,junior-cert,15047
2011,Male,1 hour - < 1½ hours,06:30 - 07:00,5 to 12,primary-school,45
2011,Male,1 hour - < 1½ hours,06:30 - 07:00,13 to 18,leaving-cert,227
2011,Male,1 hour - < 1½ hours,06:30 - 07:00,>=19,university,642
2011,Male,1 hour - < 1½ hours,07:01 - 07:30,>=15,junior-cert,12613
2011,Male,1 hour - < 1½ hours,07:01 - 07:30,5 to 12,primary-school,191
2011,Male,1 hour - < 1½ hours,07:01 - 07:30,13 to 18,leaving-cert,1027
2011,Male,1 hour - < 1½ hours,07:01 - 07:30,>=19,university,1795
2011,Male,1 hour - < 1½ hours,07:31 - 08:00,>=15,junior-cert,12988
2011,Male,1 hour - < 1½ hours,07:31 - 08:00,5 to 12,primary-school,437
2011,Male,1 hour - < 1½ hours,07:31 - 08:00,13 to 18,leaving-cert,1399
2011,Male,1 hour - < 1½ hours,07:31 - 08:00,>=19,university,2657
2011,Male,1 hour - < 1½ hours,08:01 - 08:30,>=15,junior-cert,6999
2011,Male,1 hour - < 1½ hours,08:01 - 08:30,5 to 12,primary-school,369
2011,Male,1 hour - < 1½ hours,08:01 - 08:30,13 to 18,leaving-cert,539
2011,Male,1 hour - < 1½ hours,08:01 - 08:30,>=19,university,1620
2011,Male,1 hour - < 1½ hours,08:31 - 09:00,>=15,junior-cert,2953
2011,Male,1 hour - < 1½ hours,08:31 - 09:00,5 to 12,primary-school,187
2011,Male,1 hour - < 1½ hours,08:31 - 09:00,13 to 18,leaving-cert,152
2011,Male,1 hour - < 1½ hours,08:31 - 09:00,>=19,university,818
2011,Male,1 hour - < 1½ hours,09:01 - 09:30,>=15,junior-cert,1435
2011,Male,1 hour - < 1½ hours,09:01 - 09:30,5 to 12,primary-school,41
2011,Male,1 hour - < 1½ hours,09:01 - 09:30,13 to 18,leaving-cert,66
2011,Male,1 hour - < 1½ hours,09:01 - 09:30,>=19,university,466
2011,Male,1 hour - < 1½ hours,After 09:30,>=15,junior-cert,3977
2011,Male,1 hour - < 1½ hours,After 09:30,5 to 12,primary-school,5
2011,Male,1 hour - < 1½ hours,After 09:30,13 to 18,leaving-cert,69
2011,Male,1 hour - < 1½ hours,After 09:30,>=19,university,870
2011,Male,1½ hours and over,Before 06:30,>=15,junior-cert,8642
2011,Male,1½ hours and over,Before 06:30,5 to 12,primary-school,8
2011,Male,1½ hours and over,Before 06:30,13 to 18,leaving-cert,50
2011,Male,1½ hours and over,Before 06:30,>=19,university,289
2011,Male,1½ hours and over,06:30 - 07:00,>=15,junior-cert,6498
2011,Male,1½ hours and over,06:30 - 07:00,5 to 12,primary-school,23
2011,Male,1½ hours and over,06:30 - 07:00,13 to 18,leaving-cert,163
2011,Male,1½ hours and over,06:30 - 07:00,>=19,university,830
2011,Male,1½ hours and over,07:01 - 07:30,>=15,junior-cert,4002
2011,Male,1½ hours and over,07:01 - 07:30,5 to 12,primary-school,63
2011,Male,1½ hours and over,07:01 - 07:30,13 to 18,leaving-cert,271
2011,Male,1½ hours and over,07:01 - 07:30,>=19,university,970
2011,Male,1½ hours and over,07:31 - 08:00,>=15,junior-cert,2545
2011,Male,1½ hours and over,07:31 - 08:00,5 to 12,primary-school,80
2011,Male,1½ hours and over,07:31 - 08:00,13 to 18,leaving-cert,211
2011,Male,1½ hours and over,07:31 - 08:00,>=19,university,657
2011,Male,1½ hours and over,08:01 - 08:30,>=15,junior-cert,1434
2011,Male,1½ hours and over,08:01 - 08:30,5 to 12,primary-school,91
2011,Male,1½ hours and over,08:01 - 08:30,13 to 18,leaving-cert,111
2011,Male,1½ hours and over,08:01 - 08:30,>=19,university,390
2011,Male,1½ hours and over,08:31 - 09:00,>=15,junior-cert,747
2011,Male,1½ hours and over,08:31 - 09:00,5 to 12,primary-school,75
2011,Male,1½ hours and over,08:31 - 09:00,13 to 18,leaving-cert,62
2011,Male,1½ hours and over,08:31 - 09:00,>=19,university,260
2011,Male,1½ hours and over,09:01 - 09:30,>=15,junior-cert,382
2011,Male,1½ hours and over,09:01 - 09:30,5 to 12,primary-school,39
2011,Male,1½ hours and over,09:01 - 09:30,13 to 18,leaving-cert,27
2011,Male,1½ hours and over,09:01 - 09:30,>=19,university,133
2011,Male,1½ hours and over,After 09:30,>=15,junior-cert,1582
2011,Male,1½ hours and over,After 09:30,5 to 12,primary-school,3
2011,Male,1½ hours and over,After 09:30,13 to 18,leaving-cert,55
2011,Male,1½ hours and over,After 09:30,>=19,university,355
2011,Male,na,Before 06:30,>=15,junior-cert,4280
2011,Male,na,Before 06:30,5 to 12,primary-school,7
2011,Male,na,Before 06:30,13 to 18,leaving-cert,20
2011,Male,na,Before 06:30,>=19,university,47
2011,Male,na,06:30 - 07:00,>=15,junior-cert,4383
2011,Male,na,06:30 - 07:00,5 to 12,primary-school,25
2011,Male,na,06:30 - 07:00,13 to 18,leaving-cert,43
2011,Male,na,06:30 - 07:00,>=19,university,114
2011,Male,na,07:01 - 07:30,>=15,junior-cert,4764
2011,Male,na,07:01 - 07:30,5 to 12,primary-school,102
2011,Male,na,07:01 - 07:30,13 to 18,leaving-cert,189
2011,Male,na,07:01 - 07:30,>=19,university,180
2011,Male,na,07:31 - 08:00,>=15,junior-cert,6315
2011,Male,na,07:31 - 08:00,5 to 12,primary-school,304
2011,Male,na,07:31 - 08:00,13 to 18,leaving-cert,740
2011,Male,na,07:31 - 08:00,>=19,university,321
2011,Male,na,08:01 - 08:30,>=15,junior-cert,5321
2011,Male,na,08:01 - 08:30,5 to 12,primary-school,1323
2011,Male,na,08:01 - 08:30,13 to 18,leaving-cert,1446
2011,Male,na,08:01 - 08:30,>=19,university,492
2011,Male,na,08:31 - 09:00,>=15,junior-cert,3930
2011,Male,na,08:31 - 09:00,5 to 12,primary-school,2524
2011,Male,na,08:31 - 09:00,13 to 18,leaving-cert,974
2011,Male,na,08:31 - 09:00,>=19,university,519
2011,Male,na,09:01 - 09:30,>=15,junior-cert,2363
2011,Male,na,09:01 - 09:30,5 to 12,primary-school,1170
2011,Male,na,09:01 - 09:30,13 to 18,leaving-cert,125
2011,Male,na,09:01 - 09:30,>=19,university,276
2011,Male,na,After 09:30,>=15,junior-cert,5144
2011,Male,na,After 09:30,5 to 12,primary-school,26
2011,Male,na,After 09:30,13 to 18,leaving-cert,36
2011,Male,na,After 09:30,>=19,university,268
2011,Female,< ¼ hour,Before 06:30,>=15,junior-cert,6419
2011,Female,< ¼ hour,Before 06:30,5 to 12,primary-school,45
2011,Female,< ¼ hour,Before 06:30,13 to 18,leaving-cert,29
2011,Female,< ¼ hour,Before 06:30,>=19,university,55
2011,Female,< ¼ hour,06:30 - 07:00,>=15,junior-cert,10245
