year,sex,home,travelling_time,age_range,edu_status,value
2011,Male,Kilkenny,1.25,13-18,at secondary school,55
2011,Male,Kilkenny,1.25,19-66,at university,90
2011,Male,Kilkenny,1.3,15-66,working,751
2011,Male,Kilkenny,1.3,5-12,at primary school,7
2011,Male,Kilkenny,1.3,13-18,at secondary school,10
2011,Male,Kilkenny,1.3,19-66,at university,65
2011,Male,Laois,0.125,15-66,working,3758
2011,Male,Laois,0.125,5-12,at primary school,3490
2011,Male,Laois,0.125,13-18,at secondary school,1069
2011,Male,Laois,0.125,19-66,at university,262
2011,Male,Laois,0.275,15-66,working,3318
2011,Male,Laois,0.275,5-12,at primary school,1081
2011,Male,Laois,0.275,13-18,at secondary school,1074
2011,Male,Laois,0.275,19-66,at university,296
2011,Male,Laois,0.375,15-66,working,2277
2011,Male,Laois,0.375,5-12,at primary school,202
2011,Male,Laois,0.375,13-18,at secondary school,434
2011,Male,Laois,0.375,19-66,at university,129
2011,Male,Laois,0.525,15-66,working,1003
2011,Male,Laois,0.525,5-12,at primary school,40
2011,Male,Laois,0.525,13-18,at secondary school,110
2011,Male,Laois,0.525,19-66,at university,65
2011,Male,Laois,1.25,15-66,working,1826
2011,Male,Laois,1.25,5-12,at primary school,14
2011,Male,Laois,1.25,13-18,at secondary school,56
2011,Male,Laois,1.25,19-66,at university,117
2011,Male,Laois,1.3,15-66,working,1067
2011,Male,Laois,1.3,5-12,at primary school,6
2011,Male,Laois,1.3,13-18,at secondary school,29
2011,Male,Laois,1.3,19-66,at university,97
2011,Male,Longford,0.125,15-66,working,2307
2011,Male,Longford,0.125,5-12,at primary school,1710
2011,Male,Longford,0.125,13-18,at secondary school,613
2011,Male,Longford,0.125,19-66,at university,164
2011,Male,Longford,0.275,15-66,working,1627
2011,Male,Longford,0.275,5-12,at primary school,507
2011,Male,Longford,0.275,13-18,at secondary school,494
2011,Male,Longford,0.275,19-66,at university,141
2011,Male,Longford,0.375,15-66,working,946
2011,Male,Longford,0.375,5-12,at primary school,74
2011,Male,Longford,0.375,13-18,at secondary school,205
2011,Male,Longford,0.375,19-66,at university,101
2011,Male,Longford,0.525,15-66,working,309
2011,Male,Longford,0.525,5-12,at primary school,9
2011,Male,Longford,0.525,13-18,at secondary school,34
2011,Male,Longford,0.525,19-66,at university,54
2011,Male,Longford,1.25,15-66,working,407
2011,Male,Longford,1.25,5-12,at primary school,6
2011,Male,Longford,1.25,13-18,at secondary school,27
2011,Male,Longford,1.25,19-66,at university,41
2011,Male,Longford,1.3,15-66,working,416
2011,Male,Longford,1.3,5-12,at primary school,2
2011,Male,Longford,1.3,13-18,at secondary school,8
2011,Male,Longford,1.3,19-66,at university,46
2011,Male,Louth,0.125,15-66,working,6808
2011,Male,Louth,0.125,5-12,at primary school,5159
2011,Male,Louth,0.125,13-18,at secondary school,1627
2011,Male,Louth,0.125,19-66,at university,582
2011,Male,Louth,0.275,15-66,working,5779
2011,Male,Louth,0.275,5-12,at primary school,1658
2011,Male,Louth,0.275,13-18,at secondary school,1692
2011,Male,Louth,0.275,19-66,at university,622
2011,Male,Louth,0.375,15-66,working,3105
2011,Male,Louth,0.375,5-12,at primary school,282
2011,Male,Louth,0.375,13-18,at secondary school,664
2011,Male,Louth,0.375,19-66,at university,318
2011,Male,Louth,0.525,15-66,working,1359
2011,Male,Louth,0.525,5-12,at primary school,46
2011,Male,Louth,0.525,13-18,at secondary school,95
2011,Male,Louth,0.525,19-66,at university,113
2011,Male,Louth,1.25,15-66,working,2327
2011,Male,Louth,1.25,5-12,at primary school,24
2011,Male,Louth,1.25,13-18,at secondary school,99
2011,Male,Louth,1.25,19-66,at university,234
2011,Male,Louth,1.3,15-66,working,1078
2011,Male,Louth,1.3,5-12,at primary school,7
2011,Male,Louth,1.3,13-18,at secondary school,49
2011,Male,Louth,1.3,19-66,at university,188
2011,Male,Meath,0.125,15-66,working,6913
2011,Male,Meath,0.125,5-12,at primary school,8525
2011,Male,Meath,0.125,13-18,at secondary school,2477
2011,Male,Meath,0.125,19-66,at university,324
2011,Male,Meath,0.275,15-66,working,7944
2011,Male,Meath,0.275,5-12,at primary school,2584
2011,Male,Meath,0.275,13-18,at secondary school,2483
2011,Male,Meath,0.275,19-66,at university,435
2011,Male,Meath,0.375,15-66,working,8613
2011,Male,Meath,0.375,5-12,at primary school,501
2011,Male,Meath,0.375,13-18,at secondary school,1011
2011,Male,Meath,0.375,19-66,at university,450
2011,Male,Meath,0.525,15-66,working,4706
2011,Male,Meath,0.525,5-12,at primary school,95
