year,age_group,sex,travelling_time,value
2016,60 - 64 years,Male,0.125,13659
2016,60 - 64 years,Male,0.275,14673
2016,60 - 64 years,Male,0.375,10431
2016,60 - 64 years,Male,0.525,3172
2016,60 - 64 years,Male,1.25,3483
2016,60 - 64 years,Male,1.3,1332
2016,60 - 64 years,Female,0.125,12148
2016,60 - 64 years,Female,0.275,13961
2016,60 - 64 years,Female,0.375,7099
2016,60 - 64 years,Female,0.525,2247
2016,60 - 64 years,Female,1.25,1695
2016,60 - 64 years,Female,1.3,577
2016,65 - 69 years,Male,0.125,5129
2016,65 - 69 years,Male,0.275,4364
2016,65 - 69 years,Male,0.375,2976
2016,65 - 69 years,Male,0.525,829
2016,65 - 69 years,Male,1.25,933
2016,65 - 69 years,Male,1.3,377
2016,65 - 69 years,Female,0.125,3332
2016,65 - 69 years,Female,0.275,2945
2016,65 - 69 years,Female,0.375,1532
2016,65 - 69 years,Female,0.525,436
2016,65 - 69 years,Female,1.25,320
2016,65 - 69 years,Female,1.3,110
2016,70 years and over,Male,0.125,2930
2016,70 years and over,Male,0.275,1950
2016,70 years and over,Male,0.375,1373
2016,70 years and over,Male,0.525,369
2016,70 years and over,Male,1.25,365
2016,70 years and over,Male,1.3,165
2016,70 years and over,Female,0.125,1204
2016,70 years and over,Female,0.275,934
2016,70 years and over,Female,0.375,478
2016,70 years and over,Female,0.525,156
2016,70 years and over,Female,1.25,126
2016,70 years and over,Female,1.3,48
