year,sex,means_of_travel,age,edu_level,value
2002,Female,bus,5 to 12,primary-school,37403
2002,Female,bus,13 to 18,leaving-cert,63138
2002,Female,bus,>=19,university,20929
2002,Female,train,>=15,junior-cert,16169
2002,Female,train,5 to 12,primary-school,207
2002,Female,train,13 to 18,leaving-cert,2215
2002,Female,train,>=19,university,4294
2002,Female,motorbike,>=15,junior-cert,2207
2002,Female,motorbike,5 to 12,primary-school,0
2002,Female,motorbike,13 to 18,leaving-cert,167
2002,Female,motorbike,>=19,university,328
2002,Female,car,>=15,junior-cert,387164
2002,Female,car,5 to 12,primary-school,0
2002,Female,car,13 to 18,leaving-cert,1176
2002,Female,car,>=19,university,11447
2002,Female,carpool,>=15,junior-cert,55677
2002,Female,carpool,5 to 12,primary-school,106426
2002,Female,carpool,13 to 18,leaving-cert,47467
2002,Female,carpool,>=19,university,7068
2002,Female,truck,>=15,junior-cert,3277
2002,Female,truck,5 to 12,primary-school,953
2002,Female,truck,13 to 18,leaving-cert,466
2002,Female,truck,>=19,university,169
2002,Female,remote,>=15,junior-cert,24855
2002,Female,remote,5 to 12,primary-school,3136
2002,Female,remote,13 to 18,leaving-cert,1864
2002,Female,remote,>=19,university,1106
2006,Male,walking,>=15,junior-cert,94567
2006,Male,walking,5 to 12,primary-school,55799
2006,Male,walking,13 to 18,leaving-cert,36416
2006,Male,walking,>=19,university,19099
2006,Male,bike,>=15,junior-cert,27948
2006,Male,bike,5 to 12,primary-school,3043
2006,Male,bike,13 to 18,leaving-cert,6856
2006,Male,bike,>=19,university,4560
2006,Male,bus,>=15,junior-cert,54271
2006,Male,bus,5 to 12,primary-school,34413
2006,Male,bus,13 to 18,leaving-cert,52639
2006,Male,bus,>=19,university,16233
2006,Male,train,>=15,junior-cert,28049
2006,Male,train,5 to 12,primary-school,328
2006,Male,train,13 to 18,leaving-cert,2673
2006,Male,train,>=19,university,5001
2006,Male,motorbike,>=15,junior-cert,11225
2006,Male,motorbike,5 to 12,primary-school,0
2006,Male,motorbike,13 to 18,leaving-cert,399
2006,Male,motorbike,>=19,university,646
2006,Male,car,>=15,junior-cert,580034
2006,Male,car,5 to 12,primary-school,0
2006,Male,car,13 to 18,leaving-cert,2668
2006,Male,car,>=19,university,13248
2006,Male,carpool,>=15,junior-cert,55033
2006,Male,carpool,5 to 12,primary-school,125866
2006,Male,carpool,13 to 18,leaving-cert,45750
2006,Male,carpool,>=19,university,5100
2006,Male,truck,>=15,junior-cert,143533
2006,Male,truck,5 to 12,primary-school,797
2006,Male,truck,13 to 18,leaving-cert,483
2006,Male,truck,>=19,university,421
2006,Male,remote,>=15,junior-cert,69261
2006,Male,remote,5 to 12,primary-school,4394
2006,Male,remote,13 to 18,leaving-cert,2020
2006,Male,remote,>=19,university,1099
2006,Female,walking,>=15,junior-cert,111121
2006,Female,walking,5 to 12,primary-school,53254
2006,Female,walking,13 to 18,leaving-cert,37930
2006,Female,walking,>=19,university,24924
2006,Female,bike,>=15,junior-cert,8358
2006,Female,bike,5 to 12,primary-school,1044
2006,Female,bike,13 to 18,leaving-cert,521
2006,Female,bike,>=19,university,1630
2006,Female,bus,>=15,junior-cert,60685
2006,Female,bus,5 to 12,primary-school,32937
2006,Female,bus,13 to 18,leaving-cert,55761
2006,Female,bus,>=19,university,20010
2006,Female,train,>=15,junior-cert,26893
2006,Female,train,5 to 12,primary-school,266
2006,Female,train,13 to 18,leaving-cert,2675
2006,Female,train,>=19,university,5773
2006,Female,motorbike,>=15,junior-cert,1824
2006,Female,motorbike,5 to 12,primary-school,0
2006,Female,motorbike,13 to 18,leaving-cert,88
2006,Female,motorbike,>=19,university,156
2006,Female,car,>=15,junior-cert,500412
2006,Female,car,5 to 12,primary-school,0
2006,Female,car,13 to 18,leaving-cert,2463
2006,Female,car,>=19,university,19487
2006,Female,carpool,>=15,junior-cert,49828
2006,Female,carpool,5 to 12,primary-school,120936
2006,Female,carpool,13 to 18,leaving-cert,50155
2006,Female,carpool,>=19,university,6829
2006,Female,truck,>=15,junior-cert,3502
2006,Female,truck,5 to 12,primary-school,657
2006,Female,truck,13 to 18,leaving-cert,359
2006,Female,truck,>=19,university,156
2006,Female,remote,>=15,junior-cert,36445
2006,Female,remote,5 to 12,primary-school,3828
2006,Female,remote,13 to 18,leaving-cert,1552
2006,Female,remote,>=19,university,1319
2011,Male,walking,>=15,junior-cert,73714
2011,Male,walking,5 to 12,primary-school,59986
2011,Male,walking,13 to 18,leaving-cert,37443
2011,Male,walking,>=19,university,24393
2011,Male,bike,>=15,junior-cert,29075
2011,Male,bike,5 to 12,primary-school,4457
2011,Male,bike,13 to 18,leaving-cert,6063
2011,Male,bike,>=19,university,6215
2011,Male,bus,>=15,junior-cert,38595
2011,Male,bus,5 to 12,primary-school,31217
2011,Male,bus,13 to 18,leaving-cert,48143
2011,Male,bus,>=19,university,19305
2011,Male,train,>=15,junior-cert,25652
2011,Male,train,5 to 12,primary-school,371
2011,Male,train,13 to 18,leaving-cert,2926
2011,Male,train,>=19,university,6056
2011,Male,motorbike,>=15,junior-cert,7332
2011,Male,motorbike,5 to 12,primary-school,0
2011,Male,motorbike,13 to 18,leaving-cert,181
2011,Male,motorbike,>=19,university,506
2011,Male,car,>=15,junior-cert,515813
2011,Male,car,5 to 12,primary-school,0
2011,Male,car,13 to 18,leaving-cert,3584
2011,Male,car,>=19,university,24026
2011,Male,carpool,>=15,junior-cert,25818
2011,Male,carpool,5 to 12,primary-school,150818
2011,Male,carpool,13 to 18,leaving-cert,61415
2011,Male,carpool,>=19,university,7496
2011,Male,truck,>=15,junior-cert,127831
2011,Male,truck,5 to 12,primary-school,588
2011,Male,truck,13 to 18,leaving-cert,498
2011,Male,truck,>=19,university,1094
2011,Male,remote,>=15,junior-cert,59278
2011,Male,remote,5 to 12,primary-school,135
2011,Male,remote,13 to 18,leaving-cert,137
2011,Male,remote,>=19,university,239
2011,Female,walking,>=15,junior-cert,96796
2011,Female,walking,5 to 12,primary-school,58537
2011,Female,walking,13 to 18,leaving-cert,36503
2011,Female,walking,>=19,university,27566
2011,Female,bike,>=15,junior-cert,10728
2011,Female,bike,5 to 12,primary-school,1795
2011,Female,bike,13 to 18,leaving-cert,529
2011,Female,bike,>=19,university,2315
2011,Female,bus,>=15,junior-cert,53081
2011,Female,bus,5 to 12,primary-school,29046
2011,Female,bus,13 to 18,leaving-cert,48010
2011,Female,bus,>=19,university,21165
2011,Female,train,>=15,junior-cert,27097
2011,Female,train,5 to 12,primary-school,320
2011,Female,train,13 to 18,leaving-cert,2714
2011,Female,train,>=19,university,5840
2011,Female,motorbike,>=15,junior-cert,1111
2011,Female,motorbike,5 to 12,primary-school,0
2011,Female,motorbike,13 to 18,leaving-cert,55
2011,Female,motorbike,>=19,university,127
2011,Female,car,>=15,junior-cert,551638
2011,Female,car,5 to 12,primary-school,0
2011,Female,car,13 to 18,leaving-cert,2755
2011,Female,car,>=19,university,29580
2011,Female,carpool,>=15,junior-cert,43346
2011,Female,carpool,5 to 12,primary-school,145893
2011,Female,carpool,13 to 18,leaving-cert,64757
2011,Female,carpool,>=19,university,8795
2011,Female,truck,>=15,junior-cert,3187
2011,Female,truck,5 to 12,primary-school,490
2011,Female,truck,13 to 18,leaving-cert,299
2011,Female,truck,>=19,university,128
2011,Female,remote,>=15,junior-cert,24048
2011,Female,remote,5 to 12,primary-school,129
2011,Female,remote,13 to 18,leaving-cert,108
2011,Female,remote,>=19,university,353
2016,Male,walking,>=15,junior-cert,79566
2016,Male,walking,5 to 12,primary-school,64764
2016,Male,walking,13 to 18,leaving-cert,37614
2016,Male,walking,>=19,university,22484
2016,Male,bike,>=15,junior-cert,41341
2016,Male,bike,5 to 12,primary-school,4858
2016,Male,bike,13 to 18,leaving-cert,6588
2016,Male,bike,>=19,university,7323
2016,Male,bus,>=15,junior-cert,49788
2016,Male,bus,5 to 12,primary-school,29410
2016,Male,bus,13 to 18,leaving-cert,49934
2016,Male,bus,>=19,university,21441
2016,Male,train,>=15,junior-cert,32307
2016,Male,train,5 to 12,primary-school,383
2016,Male,train,13 to 18,leaving-cert,2933
2016,Male,train,>=19,university,6503
2016,Male,motorbike,>=15,junior-cert,6740
2016,Male,motorbike,5 to 12,primary-school,0
2016,Male,motorbike,13 to 18,leaving-cert,97
2016,Male,motorbike,>=19,university,336
2016,Male,car,>=15,junior-cert,561704
2016,Male,car,5 to 12,primary-school,0
2016,Male,car,13 to 18,leaving-cert,2971
2016,Male,car,>=19,university,21272
2016,Male,carpool,>=15,junior-cert,33351
2016,Male,carpool,5 to 12,primary-school,165890
2016,Male,carpool,13 to 18,leaving-cert,71622
2016,Male,carpool,>=19,university,8939
2016,Male,truck,>=15,junior-cert,134521
2016,Male,truck,5 to 12,primary-school,573
2016,Male,truck,13 to 18,leaving-cert,401
2016,Male,truck,>=19,university,726
2016,Male,remote,>=15,junior-cert,65608
2016,Male,remote,5 to 12,primary-school,147
2016,Male,remote,13 to 18,leaving-cert,114
2016,Male,remote,>=19,university,244
2016,Female,walking,>=15,junior-cert,95514
2016,Female,walking,5 to 12,primary-school,63454
2016,Female,walking,13 to 18,leaving-cert,36497
2016,Female,walking,>=19,university,26328
2016,Female,bike,>=15,junior-cert,15496
2016,Female,bike,5 to 12,primary-school,2468
2016,Female,bike,13 to 18,leaving-cert,694
2016,Female,bike,>=19,university,3355
2016,Female,bus,>=15,junior-cert,61648
2016,Female,bus,5 to 12,primary-school,26735
2016,Female,bus,13 to 18,leaving-cert,49639
2016,Female,bus,>=19,university,24502
2016,Female,train,>=15,junior-cert,30826
2016,Female,train,5 to 12,primary-school,318
2016,Female,train,13 to 18,leaving-cert,2716
2016,Female,train,>=19,university,6641
2016,Female,motorbike,>=15,junior-cert,1250
2016,Female,motorbike,5 to 12,primary-school,0
2016,Female,motorbike,13 to 18,leaving-cert,63
2016,Female,motorbike,>=19,university,79
2016,Female,car,>=15,junior-cert,590927
2016,Female,car,5 to 12,primary-school,0
2016,Female,car,13 to 18,leaving-cert,2068
2016,Female,car,>=19,university,23499
2016,Female,carpool,>=15,junior-cert,43984
2016,Female,carpool,5 to 12,primary-school,161149
2016,Female,carpool,13 to 18,leaving-cert,75133
2016,Female,carpool,>=19,university,10186
2016,Female,truck,>=15,junior-cert,3101
2016,Female,truck,5 to 12,primary-school,493
2016,Female,truck,13 to 18,leaving-cert,294
2016,Female,truck,>=19,university,118
2016,Female,remote,>=15,junior-cert,29347
2016,Female,remote,5 to 12,primary-school,155
2016,Female,remote,13 to 18,leaving-cert,93
2016,Female,remote,>=19,university,349
