year,sex,means_of_travel,age_range,edu_status,value
1991,Female,remote,13-18,at secondary school,2060
1991,Female,remote,19-66,at university,560
1996,Male,walking,15-66,working,67964
1996,Male,walking,5-12,at primary school,79164
1996,Male,walking,13-18,at secondary school,48906
1996,Male,walking,19-66,at university,13491
1996,Male,bike,15-66,working,33852
1996,Male,bike,5-12,at primary school,7837
1996,Male,bike,13-18,at secondary school,21783
1996,Male,bike,19-66,at university,8217
1996,Male,bus,15-66,working,40512
1996,Male,bus,5-12,at primary school,51008
1996,Male,bus,13-18,at secondary school,67519
1996,Male,bus,19-66,at university,12781
1996,Male,train,15-66,working,11489
1996,Male,train,5-12,at primary school,306
1996,Male,train,13-18,at secondary school,2330
1996,Male,train,19-66,at university,3148
1996,Male,motorbike,15-66,working,10874
1996,Male,motorbike,5-12,at primary school,0
1996,Male,motorbike,13-18,at secondary school,238
1996,Male,motorbike,19-66,at university,569
1996,Male,car,15-66,working,378075
1996,Male,car,5-12,at primary school,0
1996,Male,car,13-18,at secondary school,636
1996,Male,car,19-66,at university,3077
1996,Male,carpool,15-66,working,45519
1996,Male,carpool,5-12,at primary school,84966
1996,Male,carpool,13-18,at secondary school,33103
1996,Male,carpool,19-66,at university,4259
1996,Male,truck,15-66,working,51862
1996,Male,truck,5-12,at primary school,1109
1996,Male,truck,13-18,at secondary school,728
1996,Male,truck,19-66,at university,325
1996,Male,remote,15-66,working,127913
1996,Male,remote,5-12,at primary school,2410
1996,Male,remote,13-18,at secondary school,4311
1996,Male,remote,19-66,at university,1193
1996,Female,walking,15-66,working,80412
1996,Female,walking,5-12,at primary school,75612
1996,Female,walking,13-18,at secondary school,53325
1996,Female,walking,19-66,at university,18067
1996,Female,bike,15-66,working,12580
1996,Female,bike,5-12,at primary school,3834
1996,Female,bike,13-18,at secondary school,6419
1996,Female,bike,19-66,at university,4486
1996,Female,bus,15-66,working,57777
1996,Female,bus,5-12,at primary school,49425
1996,Female,bus,13-18,at secondary school,75308
1996,Female,bus,19-66,at university,15256
1996,Female,train,15-66,working,11079
1996,Female,train,5-12,at primary school,208
1996,Female,train,13-18,at secondary school,2327
1996,Female,train,19-66,at university,3214
1996,Female,motorbike,15-66,working,1290
1996,Female,motorbike,5-12,at primary school,0
1996,Female,motorbike,13-18,at secondary school,37
1996,Female,motorbike,19-66,at university,156
1996,Female,car,15-66,working,221207
1996,Female,car,5-12,at primary school,0
1996,Female,car,13-18,at secondary school,463
1996,Female,car,19-66,at university,2959
1996,Female,carpool,15-66,working,66913
1996,Female,carpool,5-12,at primary school,82938
1996,Female,carpool,13-18,at secondary school,38592
1996,Female,carpool,19-66,at university,4663
1996,Female,truck,15-66,working,3296
1996,Female,truck,5-12,at primary school,1094
1996,Female,truck,13-18,at secondary school,650
1996,Female,truck,19-66,at university,227
1996,Female,remote,15-66,working,30836
1996,Female,remote,5-12,at primary school,2337
1996,Female,remote,13-18,at secondary school,2774
1996,Female,remote,19-66,at university,1119
2002,Male,walking,15-66,working,83279
2002,Male,walking,5-12,at primary school,57570
2002,Male,walking,13-18,at secondary school,40249
2002,Male,walking,19-66,at university,18273
2002,Male,bike,15-66,working,26423
2002,Male,bike,5-12,at primary school,3640
2002,Male,bike,13-18,at secondary school,10072
2002,Male,bike,19-66,at university,5516
2002,Male,bus,15-66,working,48286
2002,Male,bus,5-12,at primary school,38590
2002,Male,bus,13-18,at secondary school,57417
2002,Male,bus,19-66,at university,16507
2002,Male,train,15-66,working,16897
2002,Male,train,5-12,at primary school,262
2002,Male,train,13-18,at secondary school,2132
2002,Male,train,19-66,at university,3800
2002,Male,motorbike,15-66,working,15122
2002,Male,motorbike,5-12,at primary school,0
2002,Male,motorbike,13-18,at secondary school,1205
2002,Male,motorbike,19-66,at university,1221
2002,Male,car,15-66,working,500004
2002,Male,car,5-12,at primary school,0
2002,Male,car,13-18,at secondary school,1388
2002,Male,car,19-66,at university,8643
2002,Male,carpool,15-66,working,52705
2002,Male,carpool,5-12,at primary school,110882
2002,Male,carpool,13-18,at secondary school,42001
2002,Male,carpool,19-66,at university,5736
2002,Male,truck,15-66,working,111891
2002,Male,truck,5-12,at primary school,1049
2002,Male,truck,13-18,at secondary school,599
2002,Male,truck,19-66,at university,396
2002,Male,remote,15-66,working,72712
2002,Male,remote,5-12,at primary school,3489
2002,Male,remote,13-18,at secondary school,2595
2002,Male,remote,19-66,at university,1064
2002,Female,walking,15-66,working,100569
2002,Female,walking,5-12,at primary school,54941
2002,Female,walking,13-18,at secondary school,42367
2002,Female,walking,19-66,at university,26235
2002,Female,bike,15-66,working,7827
2002,Female,bike,5-12,at primary school,1188
2002,Female,bike,13-18,at secondary school,1046
2002,Female,bike,19-66,at university,2130
2002,Female,bus,15-66,working,59029
2002,Female,bus,5-12,at primary school,37403
2002,Female,bus,13-18,at secondary school,63138
2002,Female,bus,19-66,at university,20929
2002,Female,train,15-66,working,16169
2002,Female,train,5-12,at primary school,207
2002,Female,train,13-18,at secondary school,2215
2002,Female,train,19-66,at university,4294
2002,Female,motorbike,15-66,working,2207
2002,Female,motorbike,5-12,at primary school,0
2002,Female,motorbike,13-18,at secondary school,167
2002,Female,motorbike,19-66,at university,328
2002,Female,car,15-66,working,387164
2002,Female,car,5-12,at primary school,0
2002,Female,car,13-18,at secondary school,1176
2002,Female,car,19-66,at university,11447
2002,Female,carpool,15-66,working,55677
2002,Female,carpool,5-12,at primary school,106426
2002,Female,carpool,13-18,at secondary school,47467
2002,Female,carpool,19-66,at university,7068
2002,Female,truck,15-66,working,3277
2002,Female,truck,5-12,at primary school,953
2002,Female,truck,13-18,at secondary school,466
2002,Female,truck,19-66,at university,169
2002,Female,remote,15-66,working,24855
2002,Female,remote,5-12,at primary school,3136
2002,Female,remote,13-18,at secondary school,1864
2002,Female,remote,19-66,at university,1106
2006,Male,walking,15-66,working,94567
2006,Male,walking,5-12,at primary school,55799
