capacity,episodes,reward
500k,178,-20.818181818181817
500k,179,-20.818181818181817
500k,180,-20.822222222222223
500k,181,-20.822222222222223
500k,182,-20.822222222222223
500k,183,-20.822222222222223
500k,184,-20.82608695652174
500k,185,-20.82608695652174
500k,186,-20.82608695652174
500k,187,-20.82608695652174
500k,188,-20.829787234042552
500k,189,-20.829787234042552
500k,190,-20.829787234042552
500k,191,-20.829787234042552
500k,192,-20.833333333333332
500k,193,-20.833333333333332
500k,194,-20.833333333333332
500k,195,-20.833333333333332
100k,0,-21.0
100k,1,-21.0
100k,2,-21.0
100k,3,-21.0
100k,4,-20.5
100k,5,-20.5
100k,6,-20.5
100k,7,-20.5
100k,8,-20.666666666666668
100k,9,-20.666666666666668
100k,10,-20.666666666666668
100k,11,-20.666666666666668
100k,12,-20.75
100k,13,-20.75
100k,14,-20.75
100k,15,-20.75
100k,16,-20.75
100k,17,-20.4
100k,18,-20.4
100k,19,-20.4
100k,20,-20.5
100k,21,-20.5
100k,22,-20.5
100k,23,-20.5
100k,24,-20.5
100k,25,-20.571428571428573
100k,26,-20.571428571428573
100k,27,-20.571428571428573
100k,28,-20.625
100k,29,-20.625
100k,30,-20.625
100k,31,-20.625
100k,32,-20.666666666666668
100k,33,-20.666666666666668
100k,34,-20.666666666666668
100k,35,-20.666666666666668
100k,36,-20.7
100k,37,-20.7
100k,38,-20.7
100k,39,-20.7
100k,40,-20.727272727272727
100k,41,-20.727272727272727
100k,42,-20.727272727272727
100k,43,-20.727272727272727
100k,44,-20.75
100k,45,-20.75
100k,46,-20.75
100k,47,-20.75
100k,48,-20.692307692307693
100k,49,-20.692307692307693
100k,50,-20.692307692307693
100k,51,-20.692307692307693
100k,52,-20.714285714285715
100k,53,-20.714285714285715
100k,54,-20.714285714285715
100k,55,-20.714285714285715
100k,56,-20.666666666666668
100k,57,-20.666666666666668
100k,58,-20.666666666666668
100k,59,-20.666666666666668
100k,60,-20.666666666666668
100k,61,-20.6875
100k,62,-20.6875
100k,63,-20.6875
100k,64,-20.6875
100k,65,-20.705882352941178
100k,66,-20.705882352941178
100k,67,-20.705882352941178
100k,68,-20.705882352941178
100k,69,-20.72222222222222
100k,70,-20.72222222222222
100k,71,-20.72222222222222
100k,72,-20.72222222222222
100k,73,-20.736842105263158
100k,74,-20.736842105263158
100k,75,-20.736842105263158
100k,76,-20.736842105263158
100k,77,-20.75
100k,78,-20.75
100k,79,-20.75
100k,80,-20.75
100k,81,-20.761904761904763
100k,82,-20.761904761904763
100k,83,-20.761904761904763
100k,84,-20.761904761904763
100k,85,-20.772727272727273
100k,86,-20.772727272727273
100k,87,-20.772727272727273
100k,88,-20.772727272727273
100k,89,-20.782608695652176
100k,90,-20.782608695652176
100k,91,-20.782608695652176
100k,92,-20.782608695652176
100k,93,-20.782608695652176
100k,94,-20.75
100k,95,-20.75
100k,96,-20.75
100k,97,-20.75
100k,98,-20.76
100k,99,-20.76
100k,100,-20.76
100k,101,-20.76
100k,102,-20.76
100k,103,-20.73076923076923
100k,104,-20.73076923076923
100k,105,-20.73076923076923
100k,106,-20.73076923076923
100k,107,-20.73076923076923
100k,108,-20.703703703703702
100k,109,-20.703703703703702
100k,110,-20.703703703703702
100k,111,-20.703703703703702
100k,112,-20.678571428571427
100k,113,-20.678571428571427
100k,114,-20.678571428571427
100k,115,-20.678571428571427
100k,116,-20.655172413793103
100k,117,-20.655172413793103
100k,118,-20.655172413793103
100k,119,-20.655172413793103
100k,120,-20.666666666666668
100k,121,-20.666666666666668
100k,122,-20.666666666666668
100k,123,-20.666666666666668
100k,124,-20.677419354838708
100k,125,-20.677419354838708
100k,126,-20.677419354838708
100k,127,-20.677419354838708
100k,128,-20.6875
100k,129,-20.6875
100k,130,-20.6875
100k,131,-20.6875
100k,132,-20.696969696969695
100k,133,-20.696969696969695
100k,134,-20.696969696969695
100k,135,-20.696969696969695
100k,136,-20.696969696969695
100k,137,-20.705882352941178
100k,138,-20.705882352941178
100k,139,-20.705882352941178
100k,140,-20.714285714285715
100k,141,-20.714285714285715
100k,142,-20.714285714285715
100k,143,-20.714285714285715
100k,144,-20.714285714285715
100k,145,-20.72222222222222
100k,146,-20.72222222222222
100k,147,-20.72222222222222
100k,148,-20.72222222222222
100k,149,-20.72972972972973
100k,150,-20.72972972972973
100k,151,-20.72972972972973
100k,152,-20.72972972972973
100k,153,-20.736842105263158
100k,154,-20.736842105263158
100k,155,-20.736842105263158
100k,156,-20.736842105263158
100k,157,-20.743589743589745
100k,158,-20.743589743589745
100k,159,-20.743589743589745
100k,160,-20.75
100k,161,-20.75
100k,162,-20.75
100k,163,-20.75
100k,164,-20.75
100k,165,-20.75609756097561
100k,166,-20.75609756097561
100k,167,-20.75609756097561
100k,168,-20.75609756097561
100k,169,-20.738095238095237
100k,170,-20.738095238095237
100k,171,-20.738095238095237
100k,172,-20.738095238095237
100k,173,-20.72093023255814
100k,174,-20.72093023255814
100k,175,-20.72093023255814
100k,176,-20.72093023255814
100k,177,-20.72093023255814
100k,178,-20.727272727272727
100k,179,-20.727272727272727
100k,180,-20.727272727272727
100k,181,-20.727272727272727
100k,182,-20.733333333333334
100k,183,-20.733333333333334
100k,184,-20.733333333333334
100k,185,-20.733333333333334
100k,186,-20.73913043478261
100k,187,-20.73913043478261
100k,188,-20.73913043478261
100k,189,-20.73913043478261
100k,190,-20.74468085106383
100k,191,-20.74468085106383
100k,192,-20.74468085106383
100k,193,-20.74468085106383
100k,194,-20.75
50k,0,-20.0
50k,1,-20.0
50k,2,-20.0
50k,3,-20.0
50k,4,-20.5
50k,5,-20.5
50k,6,-20.5
50k,7,-20.666666666666668
50k,8,-20.666666666666668
50k,9,-20.666666666666668
50k,10,-20.666666666666668
50k,11,-20.666666666666668
50k,12,-20.75
50k,13,-20.75
50k,14,-20.75
50k,15,-20.8
50k,16,-20.8
50k,17,-20.8
50k,18,-20.8
50k,19,-20.8
50k,20,-20.666666666666668
50k,21,-20.666666666666668
50k,22,-20.666666666666668
50k,23,-20.666666666666668
50k,24,-20.571428571428573
50k,25,-20.571428571428573
50k,26,-20.571428571428573
50k,27,-20.571428571428573
50k,28,-20.625
50k,29,-20.625
50k,30,-20.625
50k,31,-20.625
50k,32,-20.555555555555557
50k,33,-20.555555555555557
50k,34,-20.555555555555557
50k,35,-20.555555555555557
50k,36,-20.6
50k,37,-20.6
50k,38,-20.6
50k,39,-20.6
50k,40,-20.636363636363637
50k,41,-20.636363636363637
50k,42,-20.636363636363637
50k,43,-20.636363636363637
50k,44,-20.666666666666668
50k,45,-20.666666666666668
50k,46,-20.666666666666668
50k,47,-20.666666666666668
50k,48,-20.666666666666668
50k,49,-20.615384615384617
50k,50,-20.615384615384617
50k,51,-20.615384615384617
50k,52,-20.615384615384617
50k,53,-20.642857142857142
50k,54,-20.642857142857142
50k,55,-20.642857142857142
50k,56,-20.642857142857142
50k,57,-20.666666666666668
50k,58,-20.666666666666668
50k,59,-20.666666666666668
50k,60,-20.666666666666668
50k,61,-20.6875
50k,62,-20.6875
50k,63,-20.6875
50k,64,-20.6875
50k,65,-20.705882352941178
50k,66,-20.705882352941178
50k,67,-20.705882352941178
50k,68,-20.705882352941178
50k,69,-20.61111111111111
50k,70,-20.61111111111111
50k,71,-20.61111111111111
50k,72,-20.61111111111111
50k,73,-20.61111111111111
50k,74,-20.63157894736842
50k,75,-20.63157894736842
50k,76,-20.63157894736842
50k,77,-20.63157894736842
50k,78,-20.65
50k,79,-20.65
50k,80,-20.65
50k,81,-20.65
50k,82,-20.666666666666668
50k,83,-20.666666666666668
50k,84,-20.666666666666668
50k,85,-20.666666666666668
50k,86,-20.681818181818183
50k,87,-20.681818181818183
50k,88,-20.681818181818183
50k,89,-20.681818181818183
50k,90,-20.695652173913043
50k,91,-20.695652173913043
50k,92,-20.695652173913043
50k,93,-20.695652173913043
50k,94,-20.708333333333332
50k,95,-20.708333333333332
50k,96,-20.708333333333332
50k,97,-20.72
50k,98,-20.72
50k,99,-20.72
50k,100,-20.72
50k,101,-20.73076923076923
50k,102,-20.73076923076923
50k,103,-20.73076923076923
50k,104,-20.73076923076923
50k,105,-20.74074074074074
50k,106,-20.74074074074074
50k,107,-20.74074074074074
50k,108,-20.74074074074074
50k,109,-20.75
50k,110,-20.75
50k,111,-20.75
50k,112,-20.75
50k,113,-20.75862068965517
50k,114,-20.75862068965517
50k,115,-20.75862068965517
50k,116,-20.75862068965517
50k,117,-20.75862068965517
50k,118,-20.733333333333334
50k,119,-20.733333333333334
50k,120,-20.733333333333334
50k,121,-20.741935483870968
50k,122,-20.741935483870968
50k,123,-20.741935483870968
50k,124,-20.741935483870968
50k,125,-20.75
50k,126,-20.75
50k,127,-20.75
50k,128,-20.75
50k,129,-20.757575757575758
50k,130,-20.757575757575758
50k,131,-20.757575757575758
50k,132,-20.757575757575758
50k,133,-20.764705882352942
50k,134,-20.764705882352942
50k,135,-20.764705882352942
50k,136,-20.764705882352942
50k,137,-20.771428571428572
50k,138,-20.771428571428572
50k,139,-20.771428571428572
50k,140,-20.771428571428572
50k,141,-20.77777777777778
50k,142,-20.77777777777778
50k,143,-20.77777777777778
50k,144,-20.77777777777778
50k,145,-20.783783783783782
50k,146,-20.783783783783782
50k,147,-20.783783783783782
50k,148,-20.783783783783782
50k,149,-20.789473684210527
50k,150,-20.789473684210527
50k,151,-20.789473684210527
50k,152,-20.789473684210527
50k,153,-20.794871794871796
50k,154,-20.794871794871796
50k,155,-20.794871794871796
50k,156,-20.794871794871796
50k,157,-20.8
50k,158,-20.8
50k,159,-20.8
50k,160,-20.8
50k,161,-20.804878048780488
50k,162,-20.804878048780488
50k,163,-20.804878048780488
50k,164,-20.804878048780488
50k,165,-20.80952380952381
50k,166,-20.80952380952381
50k,167,-20.80952380952381
50k,168,-20.80952380952381
50k,169,-20.813953488372093
50k,170,-20.813953488372093
50k,171,-20.813953488372093
50k,172,-20.813953488372093
50k,173,-20.818181818181817
50k,174,-20.818181818181817
50k,175,-20.818181818181817
50k,176,-20.818181818181817
50k,177,-20.822222222222223
50k,178,-20.822222222222223
50k,179,-20.822222222222223
50k,180,-20.822222222222223
50k,181,-20.822222222222223
50k,182,-20.804347826086957
50k,183,-20.804347826086957
50k,184,-20.804347826086957
50k,185,-20.804347826086957
50k,186,-20.80851063829787
50k,187,-20.80851063829787
50k,188,-20.80851063829787
50k,189,-20.80851063829787
50k,190,-20.80851063829787
50k,191,-20.8125
50k,192,-20.8125
50k,193,-20.8125
50k,194,-20.8125
50k,195,-20.816326530612244
10k,0,-20.0
10k,1,-20.0
10k,2,-20.0
10k,3,-20.0
10k,4,-20.5
10k,5,-20.5
10k,6,-20.5
10k,7,-20.5
10k,8,-20.5
10k,9,-20.333333333333332
10k,10,-20.333333333333332
10k,11,-20.333333333333332
10k,12,-20.333333333333332
10k,13,-20.5
10k,14,-20.5
10k,15,-20.5
10k,16,-20.5
10k,17,-20.6
10k,18,-20.6
10k,19,-20.6
10k,20,-20.6
10k,21,-20.6
10k,22,-20.666666666666668
10k,23,-20.666666666666668
10k,24,-20.666666666666668
10k,25,-20.714285714285715
10k,26,-20.714285714285715
10k,27,-20.714285714285715
10k,28,-20.714285714285715
10k,29,-20.75
10k,30,-20.75
10k,31,-20.75
10k,32,-20.75
10k,33,-20.77777777777778
10k,34,-20.77777777777778
10k,35,-20.77777777777778
10k,36,-20.77777777777778
10k,37,-20.8
10k,38,-20.8
10k,39,-20.8
10k,40,-20.8
10k,41,-20.8
10k,42,-20.818181818181817
10k,43,-20.818181818181817
10k,44,-20.818181818181817
10k,45,-20.818181818181817
10k,46,-20.818181818181817
10k,47,-20.833333333333332
10k,48,-20.833333333333332
10k,49,-20.833333333333332
10k,50,-20.833333333333332
10k,51,-20.76923076923077
10k,52,-20.76923076923077
10k,53,-20.76923076923077
10k,54,-20.76923076923077
10k,55,-20.785714285714285
10k,56,-20.785714285714285
10k,57,-20.785714285714285
10k,58,-20.785714285714285
10k,59,-20.8
10k,60,-20.8
10k,61,-20.8
10k,62,-20.8
10k,63,-20.8
10k,64,-20.75
10k,65,-20.75
10k,66,-20.75
10k,67,-20.764705882352942
10k,68,-20.764705882352942
10k,69,-20.764705882352942
10k,70,-20.764705882352942
10k,71,-20.764705882352942
10k,72,-20.77777777777778
10k,73,-20.77777777777778
10k,74,-20.77777777777778
10k,75,-20.77777777777778
10k,76,-20.789473684210527
10k,77,-20.789473684210527
10k,78,-20.789473684210527
10k,79,-20.789473684210527
10k,80,-20.8
10k,81,-20.8
10k,82,-20.8
10k,83,-20.80952380952381
10k,84,-20.80952380952381
10k,85,-20.80952380952381
10k,86,-20.80952380952381
10k,87,-20.818181818181817
10k,88,-20.818181818181817
10k,89,-20.818181818181817
10k,90,-20.818181818181817
10k,91,-20.82608695652174
10k,92,-20.82608695652174
10k,93,-20.82608695652174
10k,94,-20.82608695652174
10k,95,-20.833333333333332
10k,96,-20.833333333333332
10k,97,-20.833333333333332
10k,98,-20.833333333333332
10k,99,-20.84
10k,100,-20.84
10k,101,-20.84
10k,102,-20.84
10k,103,-20.807692307692307
10k,104,-20.807692307692307
10k,105,-20.807692307692307
10k,106,-20.807692307692307
10k,107,-20.814814814814813
10k,108,-20.814814814814813
10k,109,-20.814814814814813
10k,110,-20.814814814814813
10k,111,-20.821428571428573
10k,112,-20.821428571428573
10k,113,-20.821428571428573
10k,114,-20.821428571428573
10k,115,-20.82758620689655
10k,116,-20.82758620689655
10k,117,-20.82758620689655
10k,118,-20.82758620689655
10k,119,-20.833333333333332
10k,120,-20.833333333333332
10k,121,-20.833333333333332
10k,122,-20.833333333333332
10k,123,-20.838709677419356
10k,124,-20.838709677419356
10k,125,-20.838709677419356
10k,126,-20.838709677419356
10k,127,-20.84375
10k,128,-20.84375
10k,129,-20.84375
10k,130,-20.84375
10k,131,-20.848484848484848
10k,132,-20.848484848484848
10k,133,-20.848484848484848
10k,134,-20.848484848484848
10k,135,-20.852941176470587
10k,136,-20.852941176470587
10k,137,-20.852941176470587
10k,138,-20.852941176470587
10k,139,-20.857142857142858
10k,140,-20.857142857142858
10k,141,-20.857142857142858
10k,142,-20.857142857142858
10k,143,-20.86111111111111
10k,144,-20.86111111111111
10k,145,-20.86111111111111
10k,146,-20.86111111111111
10k,147,-20.864864864864863
10k,148,-20.864864864864863
10k,149,-20.864864864864863
10k,150,-20.864864864864863
10k,151,-20.86842105263158
10k,152,-20.86842105263158
10k,153,-20.86842105263158
10k,154,-20.86842105263158
10k,155,-20.871794871794872
10k,156,-20.871794871794872
10k,157,-20.871794871794872
10k,158,-20.871794871794872
10k,159,-20.875
10k,160,-20.875
10k,161,-20.875
10k,162,-20.875
10k,163,-20.875
10k,164,-20.853658536585368
10k,165,-20.853658536585368
10k,166,-20.853658536585368
10k,167,-20.853658536585368
10k,168,-20.857142857142858
10k,169,-20.857142857142858
10k,170,-20.857142857142858
10k,171,-20.857142857142858
10k,172,-20.837209302325583
10k,173,-20.837209302325583
10k,174,-20.837209302325583
10k,175,-20.837209302325583
10k,176,-20.84090909090909
10k,177,-20.84090909090909
10k,178,-20.84090909090909
10k,179,-20.84090909090909
10k,180,-20.844444444444445
10k,181,-20.844444444444445
10k,182,-20.844444444444445
10k,183,-20.844444444444445
10k,184,-20.844444444444445
10k,185,-20.847826086956523
10k,186,-20.847826086956523
10k,187,-20.847826086956523
10k,188,-20.847826086956523
10k,189,-20.829787234042552
10k,190,-20.829787234042552
10k,191,-20.829787234042552
10k,192,-20.829787234042552
10k,193,-20.833333333333332
10k,194,-20.833333333333332
10k,195,-20.833333333333332
5k,0,-19.0
5k,1,-19.0
5k,2,-19.0
5k,3,-19.0
5k,4,-20.0
5k,5,-20.0
5k,6,-20.0
5k,7,-20.0
5k,8,-20.333333333333332
5k,9,-20.333333333333332
5k,10,-20.333333333333332
5k,11,-20.5
5k,12,-20.5
5k,13,-20.5
5k,14,-20.5
5k,15,-20.6
5k,16,-20.6
5k,17,-20.6
5k,18,-20.6
5k,19,-20.666666666666668
5k,20,-20.666666666666668
5k,21,-20.666666666666668
5k,22,-20.666666666666668
5k,23,-20.571428571428573
5k,24,-20.571428571428573
5k,25,-20.571428571428573
5k,26,-20.571428571428573
5k,27,-20.571428571428573
5k,28,-20.625
5k,29,-20.625
5k,30,-20.625
5k,31,-20.625
5k,32,-20.666666666666668
5k,33,-20.666666666666668
5k,34,-20.666666666666668
5k,35,-20.666666666666668
5k,36,-20.6
5k,37,-20.6
5k,38,-20.6
5k,39,-20.6
5k,40,-20.636363636363637
5k,41,-20.636363636363637
5k,42,-20.636363636363637
5k,43,-20.636363636363637
5k,44,-20.666666666666668
